,City,Country,Latitude,Longitude,Cloudiness,Humidity,Temperature,Wind Speed,Date
375,Haines Junction,CA,60.75,-137.51,80,67,277.379,2.57,1540177076
376,Owando,CG,-0.49,15.91,64,95,295.304,0.97,1540177077
377,Roebourne,AU,-20.77,117.15,0,9,312.129,1.82,1540177077
378,Maumere,ID,-8.63,122.22,0,94,302.654,2.92,1540177077
379,Cockburn Town,TC,21.46,-71.14,12,100,300.504,5.82,1540177077
380,Axim,GH,4.87,-2.24,0,100,300.029,4.57,1540177078
381,Bandarbeyla,SO,9.49,50.81,88,100,297.329,3.22,1540177078
382,Zhaozhou,CN,45.71,125.27,92,57,287.404,8.17,1540177078
383,Chokurdakh,RU,70.62,147.9,68,82,263.679,5.27,1540177078
384,Roald,NO,62.58,6.12,68,75,280.15,13.9,1540174800
385,Waseca,US,44.08,-93.51,1,76,277.15,3.32,1540176000
386,Ternate,PH,14.29,120.72,75,55,305.15,2.6,1540173600
387,Harper,US,30.3,-99.24,1,82,288.15,2.07,1540174500
388,Pinheiro Machado,BR,-31.58,-53.38,48,74,287.504,4.72,1540177080
389,Sinnamary,GF,5.38,-52.96,0,95,300.479,5.62,1540177080
390,Flensburg,DE,54.78,9.43,75,93,285.15,6.2,1540174800
391,Qarqin,AF,37.41,66.03,0,76,282.179,3.07,1540177080
392,Henties Bay,NA,-22.12,14.28,92,92,289.379,2.17,1540177080
393,Wenling,CN,28.38,121.38,56,91,294.879,0.82,1540177081
394,Koumac,NC,-20.56,164.28,56,71,299.929,2.87,1540177081
395,Saint-Joseph,FR,43.56,6.97,75,59,292.15,3.1,1540175400
396,Khunti,IN,23.08,85.28,0,56,295.15,1.87,1540175400
397,Bilma,NE,18.69,12.92,64,27,294.229,3.72,1540177082
398,Puerto Varas,CL,-41.32,-72.98,0,100,278.15,1.17,1540173600
399,Tres Arroyos,AR,-38.38,-60.28,0,59,287.629,4.72,1540177082
400,Sergach,RU,55.53,45.48,88,90,275.254,2.12,1540177082
401,Itacoatiara,BR,-3.14,-58.44,8,84,300.054,1.62,1540177082
402,Great Yarmouth,GB,52.61,1.73,8,76,284.15,4.1,1540174800
403,Manicore,BR,-5.81,-61.3,8,89,299.079,1.27,1540177083
404,San Jose,PH,15.79,120.99,0,61,303.579,1.32,1540177084
405,Sorland,NO,67.67,12.69,36,100,281.154,14.72,1540177085
406,Oistins,BB,13.07,-59.53,40,83,300.15,7.2,1540173600
407,Baykit,RU,61.68,96.39,88,85,270.079,4.17,1540177085
408,Marzuq,YE,14.4,46.47,0,90,284.479,1.17,1540177085
409,Corn Island,NI,12.17,-83.04,88,100,300.504,6.72,1540177085
410,Mount Isa,AU,-20.73,139.49,0,7,309.15,6.2,1540175400
411,Yamada,JP,36.58,137.08,20,45,292.15,1.5,1540173600
412,Beringovskiy,RU,63.05,179.32,64,100,273.279,8.02,1540177086
413,Mantua,IT,45.16,10.79,20,81,283.15,1.5,1540174800
414,Oksfjord,NO,70.24,22.35,64,56,279.15,5.1,1540173000
415,Praya,ID,-8.71,116.27,40,59,305.15,4.1,1540175400
416,Port Keats,AU,-14.25,129.55,12,63,307.654,3.77,1540177087
417,Sao Filipe,CV,14.9,-24.5,88,97,299.279,5.47,1540177087
418,Waipawa,NZ,-39.94,176.59,12,42,294.479,2.92,1540177087
419,Uttaradit,TH,17.63,100.1,40,83,299.15,1.5,1540173600
420,Padang,ID,-0.92,100.36,20,100,299.079,3.77,1540177088
421,Kavieng,PG,-2.57,150.8,56,100,300.504,2.22,1540177088
422,Christchurch,NZ,-43.53,172.64,0,72,290.15,7.2,1540175400
423,Sampit,ID,-2.54,112.95,20,79,304.054,3.02,1540177088
424,Berlevag,NO,70.86,29.09,36,100,275.829,5.32,1540177089
425,Shatrovo,BG,42.29,22.98,90,87,282.15,1.27,1540175400
426,Libreville,GA,0.39,9.45,40,88,298.15,4.6,1540173600
427,Pavullo nel Frignano,IT,44.33,10.84,90,92,286.15,23.7,1540174800
428,Bayir,TR,37.27,28.22,0,82,286.15,1.0,1540174800
429,Agadez,NE,16.97,7.99,0,28,295.379,2.77,1540177089
430,Humaita,AR,-24.93,-65.37,75,83,297.15,1.0,1540173600
431,Avera,US,33.19,-82.53,1,93,286.15,1.17,1540175700
432,Kawambwa,ZM,-9.8,29.07,36,91,290.679,2.52,1540177090
433,Wawa,NG,9.9,4.41,0,83,295.154,1.27,1540177090
434,Myitkyina,MM,25.38,97.4,32,81,298.229,1.02,1540177090
435,Fruitvale,CA,49.12,-117.55,75,87,280.15,5.1,1540173600
436,Taoudenni,ML,22.68,-3.98,36,46,297.579,4.97,1540177091
437,Pereslavl-Zalesskiy,RU,56.74,38.86,88,89,276.904,4.37,1540177091
438,Segovia,ES,40.95,-4.12,0,93,286.15,2.1,1540175400
439,Burnie,AU,-41.05,145.91,36,94,287.554,6.37,1540177092
440,Pacific Grove,US,36.62,-121.92,20,93,288.15,2.6,1540176000
441,Alice Springs,AU,-23.7,133.88,0,24,308.15,3.1,1540175400
442,Mar del Plata,AR,-46.43,-67.52,92,100,277.929,10.97,1540177092
443,Parrita,CR,9.52,-84.33,0,68,295.15,5.1,1540173600
444,Binzhou,CN,37.38,117.96,0,52,294.404,3.57,1540177092
445,Half Moon Bay,US,37.46,-122.43,20,82,292.15,7.7,1540173360
446,Seymchan,RU,62.93,152.39,44,93,263.254,1.62,1540177093
447,Rawson,AR,-43.3,-65.11,56,53,285.404,7.42,1540177093
448,Spirit River,CA,55.78,-118.84,20,51,276.15,1.5,1540173600
449,Vyazma,RU,55.21,34.3,0,79,269.079,2.67,1540177093
450,Uppsala,SE,59.86,17.64,48,93,285.15,3.6,1540174800
451,Yantal,RU,56.85,105.25,0,64,271.754,1.52,1540177094
452,Kalabagh,PK,34.07,73.37,0,76,287.15,1.22,1540175400
453,Nador,MA,35.17,-2.93,68,100,291.15,1.5,1540175400
454,Buraydah,SA,26.33,43.97,40,94,294.15,2.1,1540173600
455,Bathsheba,BB,13.22,-59.52,40,83,300.15,7.2,1540173600
456,Saldanha,PT,41.42,-6.55,8,94,283.079,2.02,1540177095
457,Mazatlan,MX,23.22,-106.42,90,83,300.15,3.6,1540172640
458,San Patricio,PY,-26.98,-56.83,68,80,295.554,1.22,1540177095
459,Alofi,NU,-19.06,-169.92,92,65,298.15,8.2,1540173600
460,Chernyshevskiy,RU,63.01,112.47,88,90,271.679,1.52,1540177096
461,Husavik,CA,50.56,-96.99,0,85,277.004,4.82,1540177096
462,Burgos,ES,42.34,-3.7,48,100,281.15,3.6,1540175400
463,Elko,US,40.83,-115.76,20,54,286.15,2.6,1540173360
464,Longonjo,AO,-12.91,15.25,56,94,288.154,1.37,1540177096
465,Santa Maria,BR,-29.69,-53.81,0,77,291.15,3.6,1540173600
466,Chenzhou,CN,25.81,113.03,92,100,288.029,2.12,1540177098
467,Yarim,YE,14.3,44.38,0,75,277.429,0.77,1540177098
468,Dali,CN,25.6,100.24,0,75,290.529,0.87,1540177099
469,Sainte-Maxime,FR,43.31,6.64,90,63,292.15,4.1,1540175400
470,Filadelfia,PY,-22.35,-60.04,20,61,301.254,4.82,1540177099
471,Los Llanos de Aridane,ES,28.66,-17.92,20,72,293.15,2.6,1540175400
472,Gondar,PT,41.82,-8.78,0,88,290.15,2.1,1540175400
473,Sola,NO,58.89,5.65,75,57,282.15,12.3,1540174800
474,Maniitsoq,GL,65.42,-52.9,0,100,265.329,5.37,1540177100
475,Huarmey,PE,-10.07,-78.15,36,81,287.379,1.62,1540177100
476,Del Rio,US,29.36,-100.9,75,82,290.15,2.37,1540173180
477,Vao,EE,59.1,26.19,92,91,283.729,8.37,1540177101
478,Cravo Norte,CO,6.3,-70.2,68,91,296.929,1.47,1540177101
479,Ludvika,SE,60.15,15.18,0,93,279.15,3.1,1540174800
480,Pundaguitan,PH,6.37,126.17,0,100,301.404,1.97,1540177101
481,Rio Gallegos,AR,-51.62,-69.22,75,60,277.15,5.7,1540173600
482,Leshukonskoye,RU,64.9,45.76,92,96,276.979,4.32,1540177102
483,Dunedin,NZ,-45.87,170.5,12,61,293.129,1.82,1540177022
484,Matamoros,US,25.87,-97.51,90,94,295.15,5.7,1540175220
485,Bradford,GB,53.79,-1.75,0,80,280.15,4.6,1540174800
486,Sharjah,AE,25.36,55.39,0,54,302.15,2.6,1540173600
487,Cortez,US,37.35,-108.58,1,54,285.15,2.1,1540173180
488,Desbiens,CA,48.42,-71.95,75,86,271.15,7.32,1540173600
489,Yabrud,SY,33.97,36.66,36,93,284.15,3.1,1540177200
490,Ningyang,CN,35.76,116.79,0,59,292.804,2.47,1540177103
491,Umm Lajj,SA,25.02,37.27,0,100,294.779,1.52,1540177103
492,Kahului,US,20.89,-156.47,1,70,302.15,10.3,1540173360
493,Nanortalik,GL,60.14,-45.24,92,100,274.079,6.27,1540177104
494,Molina,CL,-35.11,-71.28,56,50,287.15,2.6,1540173600
495,Epe,DE,52.18,7.04,20,93,285.15,1.0,1540174800
496,Sokol,RU,59.46,40.11,68,96,275.279,6.12,1540177104
497,Manggar,ID,-2.88,108.27,44,97,302.054,3.42,1540177105
498,Pontes e Lacerda,BR,-15.23,-59.33,8,94,295.579,1.17,1540177105
499,Indian Head,CA,50.53,-103.67,0,42,278.804,5.02,1540177105
500,Northam,GB,51.04,-4.21,32,76,282.15,1.5,1540173000
501,Policka,CZ,49.71,16.27,0,86,275.15,1.22,1540173600
502,Karakol,KG,42.49,78.39,0,85,263.504,1.12,1540177106
503,Marsh Harbour,BS,26.54,-77.06,92,100,299.529,8.72,1540176916
504,Tapes,BR,-30.67,-51.4,0,88,289.479,5.22,1540177106
505,Vilyuysk,RU,63.75,121.63,88,86,272.004,1.82,1540177106
506,Gwadar,PK,25.12,62.33,0,98,295.904,2.02,1540177106
507,Mozarlandia,BR,-14.74,-50.57,56,93,295.554,5.37,1540177107
508,Sitka,US,37.17,-99.65,0,37,287.629,6.27,1540177107
509,Los Barrios,ES,36.19,-5.49,40,88,293.15,2.6,1540175400
510,Moissala,TD,8.34,17.77,0,71,298.079,1.22,1540177107
511,Zhigansk,RU,66.77,123.37,88,95,270.429,1.17,1540177107
512,Te Anau,NZ,-45.41,167.72,0,62,292.179,2.32,1540177108
513,Fort Nelson,CA,58.81,-122.69,75,55,277.15,2.42,1540173600
514,Nemuro,JP,43.32,145.57,75,62,284.15,2.6,1540173600
515,Benjamin Aceval,PY,-24.97,-57.57,12,78,297.15,3.1,1540173600
516,Rauma,FI,61.13,21.5,56,87,281.15,4.6,1540174800
517,Sayhat,SA,26.49,50.04,20,70,302.15,1.5,1540175400
518,Sharlyk,RU,52.93,54.74,56,84,271.404,1.27,1540177109
519,Phalombe,MW,-15.81,35.65,20,91,285.529,1.72,1540177109
520,Darhan,MN,49.49,105.92,0,58,275.579,2.42,1540177109
521,Karasjok,NO,69.47,25.52,68,69,276.15,7.2,1540174800
522,Hornepayne,CA,49.22,-84.78,92,94,272.979,1.32,1540177110
523,Carutapera,BR,-1.2,-46.02,56,88,299.004,3.72,1540177110
524,Caravelas,BR,-17.73,-39.27,80,100,297.004,6.42,1540177110
525,Goderich,CA,43.74,-81.71,88,84,279.654,7.92,1540177111
526,Kurush,RU,41.28,47.83,12,86,273.004,0.87,1540177111
527,Sur,OM,22.57,59.53,0,94,300.804,2.07,1540177111
528,Turochak,RU,52.26,87.12,92,97,277.679,1.92,1540177111
529,Milkovo,BG,41.53,24.68,32,100,285.15,3.1,1540175400
530,Kavaratti,IN,10.57,72.64,12,100,301.979,2.92,1540177112
531,Stephenville Crossing,CA,48.5,-58.44,75,87,279.15,4.1,1540173600
